L2,IoU,Hausdorff,Elements,dof
0.04031472516014836,0.6962002477767971,0.2061231058420975,188,113
0.007489124828203483,0.8503811375241657,0.19128680610468665,739,403
0.002424761247716457,0.9343945672176546,0.11555276986604289,2135,1101
0.0017363340024605539,0.9590039833180803,0.0754211845007465,4873,2470
0.0013856879831692726,0.9785452842644491,0.03686953034643483,10231,5149
0.001297622328889798,0.9902576712971758,0.017265815534026955,20675,10371
0.0012750834078195119,0.9955553628547065,0.009797095280089544,41217,20642
0.0012687204041668604,0.9977702712504474,0.004692043585767735,82335,41201
