L2,IoU,Hausdorff,Elements,dof
0.04031472516014836,0.6962002477767971,0.2061231058420975,188,113
0.007427244624249027,0.8503811375241657,0.19128680610468665,752,413
0.0023452706721163548,0.9343945672176546,0.11555276986604289,2148,1111
0.0016645012980515237,0.9590039833180803,0.0754211845007465,4886,2480
0.00132993106839162,0.9785452842644491,0.03686953034643483,10244,5159
0.0003886541799458308,0.9902016050696767,0.017265815534026955,40925,20532
0.0003670636522339301,0.9950991724964505,0.009797095280089544,61467,30803
0.0001096595005547532,0.9973799470688532,0.005041614266075791,245788,123026
