L2,IoU,Hausdorff,Elements,dof
0.040314725160148376,0.6962002477767971,0.2061231058420975,188,113
0.007427244624249024,0.8503811375241657,0.19128680610468665,752,413
0.0014193578139249491,0.9343945672176546,0.11555276986604289,3008,1577
0.00046420791356984885,0.9590039833180803,0.0754211845007465,12032,6161
9.458988407057692e-05,0.9773928120015685,0.03686953034643483,48128,24353
2.1450867937869877e-05,0.9901060799002518,0.017265815534026955,192512,96833
6.352988043835327e-06,0.9948982274863218,0.009797095280089544,753261,377712
2.6343384460507943e-06,0.9973364094635468,0.005041614266075791,2635116,1319183
