L2,IoU,Hausdorff,Elements,dof
0.040314725160148376,0.6962002477767971,0.2061231058420975,188,113
0.008149938469095562,0.8503811375241657,0.19128680610468665,350,194
0.004073765310876783,0.9343945672176546,0.11555276986604289,844,441
0.0039055900986375903,0.9606907580928552,0.0754211845007465,2130,1084
0.003904946271836865,0.9819808830008534,0.03551094190728074,5556,2797
0.003908053045004636,0.9912980424951499,0.015204888255911275,15520,7779
0.003908837237324967,0.995455195975933,0.00697447345698671,45140,22589
0.003909097786240291,0.995491397066781,0.004138600979997953,133852,66945
