L2,IoU,Hausdorff,Elements,dof
0.040314725160148376,0.6962002477767971,0.2061231058420975,188,113
0.007427244624249024,0.8503811375241657,0.19128680610468665,752,413
0.003322179925183306,0.9343945672176546,0.11555276986604289,1148,611
0.0033154938437112208,0.9599969360184569,0.0754211845007465,2408,1241
0.003569106349504711,0.9795630337786905,0.03686953034643483,5756,2915
0.0008884227674910074,0.9902576712971758,0.017265815534026955,22874,11499
0.0009050487398044619,0.9954409001685309,0.009797095280089544,49890,25007
0.0002497847444372376,0.9974656247128956,0.005041614266075791,199103,99661
